interaction_sequence,epoch,pair_index,token_id,symbol,donor_tape,receiver_tape,pool_residence_interactions,opcode,template_source_tape,pool_multiplier,seed
49183,385,31,8008,58,116,220,194,45,220,16.0,2
49996,391,76,8008,58,220,93,35,45,93,16.0,2
51602,404,18,8008,58,93,66,44,45,66,16.0,2
54932,430,20,8008,58,66,52,9,44,52,16.0,2
55023,430,111,8008,58,52,120,91,43,120,16.0,2
55210,432,42,8008,58,120,103,70,43,103,16.0,2
55310,433,14,8008,58,103,235,100,44,235,16.0,2
55961,438,25,8008,58,235,34,651,45,34,16.0,2
56016,438,80,8008,58,34,116,55,43,116,16.0,2
56180,439,116,8008,58,116,35,164,45,35,16.0,2
57008,446,48,8008,58,35,19,828,43,19,16.0,2
59102,462,94,8008,58,19,41,35,45,41,16.0,2
59313,464,49,8008,58,41,109,9,43,109,16.0,2
60580,474,36,8008,58,109,16,1059,44,235,16.0,2
60612,474,68,8008,58,16,116,32,43,116,16.0,2
60795,475,123,8008,58,116,235,44,44,235,16.0,2
60815,476,15,8008,58,235,74,20,45,74,16.0,2
61462,481,22,8008,58,74,35,647,46,41,16.0,2
74221,580,109,8008,58,35,81,0,43,81,16.0,2
74595,583,99,8008,58,81,103,27,43,103,16.0,2
74661,584,37,8008,58,103,81,66,45,81,16.0,2
75218,588,82,8008,58,81,248,200,45,248,16.0,2
75316,589,52,8008,58,248,105,98,45,105,16.0,2
75358,589,94,8008,58,105,133,42,43,133,16.0,2
77799,608,103,8008,58,133,105,1409,45,105,16.0,2
77846,609,22,8008,58,105,168,47,43,168,16.0,2
78783,616,63,8008,58,168,157,69,44,157,16.0,2
78809,616,89,8008,58,157,173,26,46,4,16.0,2
79715,623,99,8008,58,173,130,2,44,174,16.0,2
80741,631,101,8008,58,130,238,115,44,174,16.0,2
81354,636,74,8008,58,238,39,71,45,39,16.0,2
81418,637,10,8008,58,39,48,64,44,198,16.0,2
8908,70,76,9047,60,141,211,64,43,211,16.0,1
9300,73,84,9047,60,211,254,392,45,254,16.0,1
9411,74,67,9047,60,254,249,111,43,249,16.0,1
11017,87,9,9047,60,249,227,34,44,215,16.0,1
11026,87,18,9047,60,227,254,9,45,254,16.0,1
11205,88,69,9047,60,254,107,179,45,107,16.0,1
11507,90,115,9047,60,107,5,186,44,5,16.0,1
19208,151,8,9047,60,5,217,57,44,14,16.0,1
30367,238,31,9047,60,217,113,11,43,113,16.0,1
30965,242,117,9047,60,113,62,34,46,62,16.0,1
30966,242,118,9047,60,62,221,1,44,38,16.0,1
33783,264,119,9047,60,221,23,248,44,38,16.0,1
35530,278,74,9047,60,23,144,20,45,144,16.0,1
36382,285,30,9047,60,144,56,52,46,99,16.0,1
36405,285,53,9047,60,56,89,23,43,89,16.0,1
37361,292,113,9047,60,89,155,31,44,31,16.0,1
37401,293,25,9047,60,155,44,40,43,44,16.0,1
39786,311,106,9047,60,44,182,78,43,182,16.0,1
39833,312,25,9047,60,182,206,47,44,61,16.0,1
40683,318,107,9047,60,206,144,43,45,144,16.0,1
40697,318,121,9047,60,144,91,14,44,61,16.0,1
46987,368,11,9047,60,91,17,6290,43,17,16.0,1
46990,368,14,9047,60,17,23,3,44,212,16.0,1
47048,368,72,9047,60,23,53,58,45,53,16.0,1
54704,428,48,9047,60,53,15,27,43,15,16.0,1
55381,433,85,9047,60,15,9,72,44,9,16.0,1
59278,464,14,9047,60,9,211,19,43,211,16.0,1
59308,464,44,9047,60,211,36,30,44,255,16.0,1
60681,475,9,9047,60,36,103,11,44,255,16.0,1
60819,476,19,9047,60,103,40,138,43,40,16.0,1
61835,484,11,9047,60,40,143,307,44,255,16.0,1
62172,486,92,9047,60,143,53,49,45,53,16.0,1
62187,486,107,9047,60,53,96,15,45,96,16.0,1
63771,499,27,9047,60,96,189,76,44,173,16.0,1
68793,538,57,9047,60,189,182,90,43,182,16.0,1
68897,539,33,9047,60,182,249,104,44,182,16.0,1
69527,544,23,9047,60,249,217,73,44,51,16.0,1
70964,555,52,9047,60,217,139,5,45,139,16.0,1
71045,556,5,9047,60,139,147,81,45,147,16.0,1
78015,610,63,9047,60,147,2,21,44,191,16.0,1
125493,981,53,78215,60,33,209,15,44,112,16.0,0
125652,982,84,78215,60,209,31,66,44,31,16.0,0
127799,999,55,78215,60,31,201,218,44,222,16.0,0
138569,1083,73,78215,60,201,89,45,44,158,16.0,0
139620,1091,100,78215,60,89,224,7,43,224,16.0,0
140537,1098,121,78215,60,224,165,15,45,165,16.0,0
617547,4825,75,78215,60,165,127,2,44,127,16.0,0
617765,4827,37,78215,60,127,170,2,44,170,16.0,0
619516,4840,124,78215,60,170,100,118,44,100,16.0,0
619522,4841,2,78215,60,100,82,6,44,82,16.0,0
626743,4897,55,78215,60,82,136,67,46,136,16.0,0
630132,4923,116,78215,60,136,55,3,43,55,16.0,0
634993,4961,113,78215,60,55,147,5,44,147,16.0,0
639021,4993,45,78215,60,147,61,3,45,61,16.0,0
642343,5019,39,78215,60,61,45,547,44,133,16.0,0
647355,5058,59,78215,60,45,126,13,44,126,16.0,0
673509,5262,101,78215,60,126,168,25,44,168,16.0,0
675841,5281,1,78215,60,168,134,9,44,164,16.0,0
677474,5293,98,78215,60,134,109,15,44,47,16.0,0
678715,5303,59,78215,60,109,160,16,46,160,16.0,0
680390,5316,70,78215,60,160,207,0,46,160,16.0,0
681596,5325,124,78215,60,207,231,3,44,231,16.0,0
689110,5384,86,78215,60,231,241,21,46,188,16.0,0
690197,5393,21,78215,60,241,21,6,44,127,16.0,0
690682,5396,122,78215,60,21,16,12,44,207,16.0,0
692911,5414,47,78215,60,16,83,1,44,83,16.0,0
698776,5460,24,78215,60,83,229,19,44,217,16.0,0
698777,5460,25,78215,60,229,24,1,44,24,16.0,0
699918,5469,14,78215,60,24,154,534,44,154,16.0,0
699924,5469,20,78215,60,154,196,6,44,196,16.0,0
733016,5727,88,78215,60,196,248,12,-1,-1,16.0,0
763126,5962,118,78215,60,248,79,139,44,79,16.0,0
764156,5970,124,78215,60,79,156,197,44,145,16.0,0
883732,6905,20,78215,60,156,85,57928,46,85,16.0,0
884820,6913,84,78215,60,85,191,965,44,191,16.0,0
885208,6916,88,78215,60,191,128,3,44,128,16.0,0
887369,6933,73,78215,60,128,191,312,43,191,16.0,0
887373,6933,77,78215,60,191,146,4,44,146,16.0,0
887969,6938,33,78215,60,146,77,5,45,77,16.0,0
887979,6938,43,78215,60,77,61,10,46,137,16.0,0
356824,2788,88,77459,60,51,70,62,46,70,16.0,0
362543,2833,47,77459,60,70,89,19,43,89,16.0,0
363733,2842,85,77459,60,89,91,2,44,91,16.0,0
365204,2854,20,77459,60,91,189,43,46,189,16.0,0
365574,2857,6,77459,60,189,201,7,43,201,16.0,0
366083,2861,3,77459,60,201,41,2,44,41,16.0,0
372422,2910,70,77459,60,41,59,38,44,240,16.0,0
372525,2911,45,77459,60,59,173,15,44,173,16.0,0
372986,2914,122,77459,60,173,6,184,46,6,16.0,0
374058,2923,42,77459,60,6,58,2,44,44,16.0,0
377148,2947,60,77459,60,58,243,13,46,243,16.0,0
377157,2947,69,77459,60,243,37,9,44,90,16.0,0
377584,2950,112,77459,60,37,209,8,44,209,16.0,0
378121,2955,9,77459,60,209,28,10,44,129,16.0,0
378124,2955,12,77459,60,28,118,3,44,133,16.0,0
405431,3168,55,77459,60,118,65,97,44,65,16.0,0
406501,3176,101,77459,60,65,97,2,44,73,16.0,0
410328,3206,88,77459,60,97,240,106,44,240,16.0,0
410638,3209,14,77459,60,240,107,14,45,107,16.0,0
411034,3212,26,77459,60,107,241,7,44,194,16.0,0
416433,3254,49,77459,60,241,80,421,44,203,16.0,0
571707,4467,59,77459,60,80,93,2,44,93,16.0,0
621502,4856,62,77459,60,93,127,23,46,127,16.0,0
636578,4974,34,77459,60,127,217,198,46,217,16.0,0
637134,4978,78,77459,60,217,11,7,44,241,16.0,0
638831,4991,111,77459,60,11,49,6,44,49,16.0,0
640253,5002,125,77459,60,49,109,13,46,109,16.0,0
640628,5005,116,77459,60,109,110,296,46,110,16.0,0
641853,5015,61,77459,60,110,5,2,44,189,16.0,0
642035,5016,115,77459,60,5,194,3,44,70,16.0,0
667689,5217,41,77459,60,194,53,14,44,97,16.0,0
667981,5219,77,77459,60,53,58,2,44,231,16.0,0
668302,5222,14,77459,60,58,42,29,46,42,16.0,0
668927,5226,127,77459,60,42,201,9,44,226,16.0,0
