seed,run_dir,tick,occupied,exact_count,near_count,opcode_count,exact_fraction,near_fraction,opcode_fraction,ancestry_count,ancestry_fraction
202608283,sweeps/phase2_parasite_positive_control/ancestry/seed_202608283,700,204,0,0,0,0.0,0.0,0.0,15,0.07352941176470588
202608283,sweeps/phase2_parasite_positive_control/ancestry/seed_202608283,800,203,0,0,0,0.0,0.0,0.0,15,0.07389162561576355
202608283,sweeps/phase2_parasite_positive_control/ancestry/seed_202608283,900,203,0,0,0,0.0,0.0,0.0,15,0.07389162561576355
202608283,sweeps/phase2_parasite_positive_control/ancestry/seed_202608283,1000,203,0,0,0,0.0,0.0,0.0,15,0.07389162561576355
202608283,sweeps/phase2_parasite_positive_control/ancestry/seed_202608283,1100,202,0,0,0,0.0,0.0,0.0,15,0.07425742574257425
202608283,sweeps/phase2_parasite_positive_control/ancestry/seed_202608283,1200,200,0,0,0,0.0,0.0,0.0,15,0.075
202608283,sweeps/phase2_parasite_positive_control/ancestry/seed_202608283,1300,200,0,0,0,0.0,0.0,0.0,15,0.075
202608283,sweeps/phase2_parasite_positive_control/ancestry/seed_202608283,1400,200,0,0,0,0.0,0.0,0.0,15,0.075
202608283,sweeps/phase2_parasite_positive_control/ancestry/seed_202608283,1500,200,0,0,0,0.0,0.0,0.0,15,0.075
202608283,sweeps/phase2_parasite_positive_control/ancestry/seed_202608283,1600,200,0,0,0,0.0,0.0,0.0,15,0.075
202608283,sweeps/phase2_parasite_positive_control/ancestry/seed_202608283,1700,200,0,0,0,0.0,0.0,0.0,15,0.075
202608283,sweeps/phase2_parasite_positive_control/ancestry/seed_202608283,1800,200,0,0,0,0.0,0.0,0.0,15,0.075
202608283,sweeps/phase2_parasite_positive_control/ancestry/seed_202608283,1900,200,0,0,0,0.0,0.0,0.0,15,0.075
202608284,sweeps/phase2_parasite_positive_control/ancestry/seed_202608284,0,205,11,11,24,0.05365853658536585,0.05365853658536585,0.11707317073170732,16,0.07804878048780488
202608284,sweeps/phase2_parasite_positive_control/ancestry/seed_202608284,100,205,0,5,0,0.0,0.024390243902439025,0.0,15,0.07317073170731707
202608284,sweeps/phase2_parasite_positive_control/ancestry/seed_202608284,200,205,0,4,0,0.0,0.01951219512195122,0.0,15,0.07317073170731707
202608284,sweeps/phase2_parasite_positive_control/ancestry/seed_202608284,300,205,0,0,0,0.0,0.0,0.0,15,0.07317073170731707
202608284,sweeps/phase2_parasite_positive_control/ancestry/seed_202608284,400,204,0,0,0,0.0,0.0,0.0,15,0.07352941176470588
202608284,sweeps/phase2_parasite_positive_control/ancestry/seed_202608284,500,204,0,0,0,0.0,0.0,0.0,15,0.07352941176470588
202608284,sweeps/phase2_parasite_positive_control/ancestry/seed_202608284,600,204,0,0,0,0.0,0.0,0.0,15,0.07352941176470588
202608284,sweeps/phase2_parasite_positive_control/ancestry/seed_202608284,700,204,0,0,0,0.0,0.0,0.0,15,0.07352941176470588
202608284,sweeps/phase2_parasite_positive_control/ancestry/seed_202608284,800,204,0,0,0,0.0,0.0,0.0,15,0.07352941176470588
202608284,sweeps/phase2_parasite_positive_control/ancestry/seed_202608284,900,204,0,0,0,0.0,0.0,0.0,15,0.07352941176470588
202608284,sweeps/phase2_parasite_positive_control/ancestry/seed_202608284,1000,204,0,0,0,0.0,0.0,0.0,15,0.07352941176470588
202608284,sweeps/phase2_parasite_positive_control/ancestry/seed_202608284,1100,203,0,0,0,0.0,0.0,0.0,15,0.07389162561576355
202608284,sweeps/phase2_parasite_positive_control/ancestry/seed_202608284,1200,204,0,0,0,0.0,0.0,0.0,15,0.07352941176470588
202608284,sweeps/phase2_parasite_positive_control/ancestry/seed_202608284,1300,204,0,0,0,0.0,0.0,0.0,15,0.07352941176470588
202608284,sweeps/phase2_parasite_positive_control/ancestry/seed_202608284,1400,204,0,0,0,0.0,0.0,0.0,15,0.07352941176470588
202608284,sweeps/phase2_parasite_positive_control/ancestry/seed_202608284,1500,204,0,0,0,0.0,0.0,0.0,15,0.07352941176470588
202608284,sweeps/phase2_parasite_positive_control/ancestry/seed_202608284,1600,204,0,0,0,0.0,0.0,0.0,15,0.07352941176470588
202608284,sweeps/phase2_parasite_positive_control/ancestry/seed_202608284,1700,203,0,0,0,0.0,0.0,0.0,15,0.07389162561576355
202608284,sweeps/phase2_parasite_positive_control/ancestry/seed_202608284,1800,203,0,0,0,0.0,0.0,0.0,15,0.07389162561576355
202608284,sweeps/phase2_parasite_positive_control/ancestry/seed_202608284,1900,203,0,0,0,0.0,0.0,0.0,15,0.07389162561576355
