seed,stop_tick,tick,family_observed,family_null,family_excess,family_p,root_excess,root_p,occupied
202609196,10000,12000,0.11602638727202173,0.06170276136284988,0.054323625909171856,0.002,0.056924123917998996,0.005,811
202609196,10000,15000,0.11295971978984239,0.06180925774491189,0.0511504620449305,0.002,0.0551597743533781,0.005,764
202609196,10000,19900,0.10168625447112928,0.061784273708377406,0.03990198076275187,0.002,0.046617861920743214,0.005,709
202609197,10000,10000,0.10520446096654275,0.06216075273223026,0.043043708234312486,0.002,0.05088266611869757,0.005,831
202609197,10000,12000,0.10573770491803279,0.06222773415683827,0.04350997076119452,0.002,0.05001029738858225,0.005,792
202609197,10000,15000,0.10367577756833177,0.061983533513775904,0.04169224405455586,0.002,0.04857937188297757,0.005,739
202609197,10000,19900,0.10277777777777777,0.061814740592295706,0.04096303718548207,0.002,0.045767727526521494,0.005,681
202609198,10000,10000,0.1167654234925061,0.06181830373888244,0.05494711975362366,0.002,0.059438005643414005,0.005,857
202609198,10000,12000,0.11511585141596176,0.061480813779084466,0.05363503763687729,0.002,0.05859751127834835,0.005,834
202609198,10000,15000,0.11143451143451144,0.06166595144551056,0.04976855998900088,0.002,0.05763119129953301,0.005,785
202609198,10000,19900,0.11263467189030363,0.06169341621538866,0.05094125567491497,0.002,0.05673322538254445,0.005,722
202609199,10000,10000,0.10390567428150331,0.061824459530704735,0.042081214750798575,0.002,0.052982302818440026,0.005,832
202609199,10000,12000,0.10408326661329063,0.061829824581107765,0.04225344203218287,0.002,0.05153670675233654,0.005,798
202609199,10000,15000,0.09968425800631484,0.06185126229002886,0.037832995716285976,0.002,0.0473771654846175,0.005,752
202609199,10000,19900,0.100104821802935,0.061565478966318386,0.03853934283661662,0.002,0.04677738798815883,0.005,696
202609200,10000,10000,0.11598111935266352,0.06184384953318639,0.05413726981947713,0.002,0.050149601683400144,0.005,873
202609200,10000,12000,0.11227060093558834,0.062057183817076395,0.05021341711851195,0.002,0.047466551903092284,0.005,845
202609200,10000,15000,0.1114714227807053,0.06129323909269695,0.05017818368800836,0.002,0.046181454495827334,0.005,796
202609200,10000,19900,0.10799438990182328,0.06217015611400454,0.04582423378781874,0.002,0.04351584946706417,0.005,741
202609201,10000,10000,0.11589522784355938,0.06224073550761372,0.05365449233594566,0.002,0.05617791144455683,0.005,846
202609201,10000,12000,0.11636927851047324,0.06252536104015634,0.0538439174703169,0.002,0.05685136309943823,0.005,816
202609201,10000,15000,0.11560693641618497,0.06262413666817851,0.05298279974800646,0.002,0.05641815122745787,0.005,762
202609201,10000,19900,0.11289459604066346,0.06213497085127988,0.05075962518938358,0.002,0.05511506166466361,0.005,696
202609202,10000,10000,0.11178571428571428,0.062088462639564836,0.049697251646149444,0.002,0.054502871500358936,0.005,849
202609202,10000,12000,0.11136277840694601,0.06195630218534463,0.04940647622160138,0.002,0.05427856534465456,0.005,825
202609202,10000,15000,0.10565723793677205,0.061872497074014904,0.043784740862757146,0.002,0.05230394902967416,0.005,786
202609202,10000,19900,0.1035175879396985,0.062203804594112844,0.04131378334558565,0.002,0.05187242746395293,0.005,717
