seed,run_dir,tick,total_count,ancestry_count,ancestry_fraction,family_species_count
202608323,experiments/stringmol/runs/global-positive-control/mixed/seed_202608323,9600,843,816,0.9679715302491103,147
202608323,experiments/stringmol/runs/global-positive-control/mixed/seed_202608323,9700,826,800,0.9685230024213075,147
202608323,experiments/stringmol/runs/global-positive-control/mixed/seed_202608323,9800,815,790,0.9693251533742331,147
202608323,experiments/stringmol/runs/global-positive-control/mixed/seed_202608323,9900,787,762,0.9682337992376112,147
202608324,experiments/stringmol/runs/global-positive-control/mixed/seed_202608324,0,150,10,0.06666666666666667,430
202608324,experiments/stringmol/runs/global-positive-control/mixed/seed_202608324,100,144,8,0.05555555555555555,430
202608324,experiments/stringmol/runs/global-positive-control/mixed/seed_202608324,200,142,14,0.09859154929577464,430
202608324,experiments/stringmol/runs/global-positive-control/mixed/seed_202608324,300,186,14,0.07526881720430108,430
202608324,experiments/stringmol/runs/global-positive-control/mixed/seed_202608324,400,181,17,0.09392265193370165,430
202608324,experiments/stringmol/runs/global-positive-control/mixed/seed_202608324,500,258,26,0.10077519379844961,430
202608324,experiments/stringmol/runs/global-positive-control/mixed/seed_202608324,600,255,37,0.1450980392156863,430
202608324,experiments/stringmol/runs/global-positive-control/mixed/seed_202608324,700,349,51,0.14613180515759314,430
202608324,experiments/stringmol/runs/global-positive-control/mixed/seed_202608324,800,352,65,0.1846590909090909,430
202608324,experiments/stringmol/runs/global-positive-control/mixed/seed_202608324,900,371,91,0.24528301886792453,430
202608324,experiments/stringmol/runs/global-positive-control/mixed/seed_202608324,1000,470,98,0.20851063829787234,430
202608324,experiments/stringmol/runs/global-positive-control/mixed/seed_202608324,1100,476,126,0.2647058823529412,430
202608324,experiments/stringmol/runs/global-positive-control/mixed/seed_202608324,1200,605,152,0.2512396694214876,430
202608324,experiments/stringmol/runs/global-positive-control/mixed/seed_202608324,1300,626,182,0.29073482428115016,430
202608324,experiments/stringmol/runs/global-positive-control/mixed/seed_202608324,1400,806,243,0.3014888337468983,430
202608324,experiments/stringmol/runs/global-positive-control/mixed/seed_202608324,1500,813,280,0.34440344403444034,430
202608324,experiments/stringmol/runs/global-positive-control/mixed/seed_202608324,1600,932,411,0.4409871244635193,430
202608324,experiments/stringmol/runs/global-positive-control/mixed/seed_202608324,1700,1073,447,0.41658900279589933,430
202608324,experiments/stringmol/runs/global-positive-control/mixed/seed_202608324,1800,1177,563,0.47833474936278675,430
202608324,experiments/stringmol/runs/global-positive-control/mixed/seed_202608324,1900,1437,713,0.49617258176757134,430
202608324,experiments/stringmol/runs/global-positive-control/mixed/seed_202608324,2000,1597,889,0.5566687539135879,430
202608324,experiments/stringmol/runs/global-positive-control/mixed/seed_202608324,2100,1598,917,0.5738423028785983,430
202608324,experiments/stringmol/runs/global-positive-control/mixed/seed_202608324,2200,1599,942,0.5891181988742964,430
202608324,experiments/stringmol/runs/global-positive-control/mixed/seed_202608324,2300,1600,976,0.61,430
202608324,experiments/stringmol/runs/global-positive-control/mixed/seed_202608324,2400,1600,992,0.62,430
202608324,experiments/stringmol/runs/global-positive-control/mixed/seed_202608324,2500,1600,1030,0.64375,430
202608324,experiments/stringmol/runs/global-positive-control/mixed/seed_202608324,2600,1597,1049,0.656856606136506,430
202608324,experiments/stringmol/runs/global-positive-control/mixed/seed_202608324,2700,1600,1080,0.675,430
202608324,experiments/stringmol/runs/global-positive-control/mixed/seed_202608324,2800,1600,1097,0.685625,430
202608324,experiments/stringmol/runs/global-positive-control/mixed/seed_202608324,2900,1600,1110,0.69375,430
202608324,experiments/stringmol/runs/global-positive-control/mixed/seed_202608324,3000,1600,1126,0.70375,430
202608324,experiments/stringmol/runs/global-positive-control/mixed/seed_202608324,3100,1597,1144,0.7163431433938635,430
202608324,experiments/stringmol/runs/global-positive-control/mixed/seed_202608324,3200,1600,1165,0.728125,430
202608324,experiments/stringmol/runs/global-positive-control/mixed/seed_202608324,3300,1600,1185,0.740625,430
202608324,experiments/stringmol/runs/global-positive-control/mixed/seed_202608324,3400,1600,1203,0.751875,430
202608324,experiments/stringmol/runs/global-positive-control/mixed/seed_202608324,3500,1600,1219,0.761875,430
202608324,experiments/stringmol/runs/global-positive-control/mixed/seed_202608324,3600,1600,1239,0.774375,430
202608324,experiments/stringmol/runs/global-positive-control/mixed/seed_202608324,3700,1600,1257,0.785625,430
202608324,experiments/stringmol/runs/global-positive-control/mixed/seed_202608324,3800,1598,1273,0.7966207759699625,430
202608324,experiments/stringmol/runs/global-positive-control/mixed/seed_202608324,3900,1595,1285,0.8056426332288401,430
202608324,experiments/stringmol/runs/global-positive-control/mixed/seed_202608324,4000,1598,1304,0.8160200250312891,430
202608324,experiments/stringmol/runs/global-positive-control/mixed/seed_202608324,4100,1600,1313,0.820625,430
202608324,experiments/stringmol/runs/global-positive-control/mixed/seed_202608324,4200,1600,1328,0.83,430
202608324,experiments/stringmol/runs/global-positive-control/mixed/seed_202608324,4300,1600,1335,0.834375,430
202608324,experiments/stringmol/runs/global-positive-control/mixed/seed_202608324,4400,1600,1347,0.841875,430
202608324,experiments/stringmol/runs/global-positive-control/mixed/seed_202608324,4500,1599,1374,0.8592870544090057,430
202608324,experiments/stringmol/runs/global-positive-control/mixed/seed_202608324,4600,1596,1417,0.8878446115288221,430
