run_dir,population_size,epochs,pool_multiplier,seed,wall_time_s,overall_blocked_fraction,first_100_blocked_fraction,last_100_blocked_fraction,peak_epoch_blocked_fraction,zero_block_epoch_fraction,blocked_fraction_cv,blocked_fraction_lag1,spectral_peak_power_fraction,spectral_peak_period_epochs,top_blocked_symbol,top_blocked_symbol_ascii,top_blocked_symbol_fraction,blocked_symbol_effective_count,instruction_blocked_fraction,initial_pool_entropy,final_pool_entropy,pool_entropy_change,final_pool_jsd,maximum_zero_pool_symbols,maximum_high_order_entropy,final_high_order_entropy,entropy_transition,maximum_dominant_tape_fraction,final_distinct_tapes,active_instruction_fraction_change,cross_tape_copy_success,cross_a_to_b_fraction,recycled_withdrawal_lower_bound,max_conservation_residual,pool_mode,initial_zero_pool_symbols
experiments/phase1_runs/mechanism/p1_m0p5_n256_s0,256,20000,0.5,0,3.551456208107993,0.19309204344451728,0.04779098436815191,0.01144342826384647,0.9802245684598626,0.1473,1.8264184198055722,0.39817684105283263,0.08755900886255723,20000.0,93,],0.21046736887464082,48.885802139669785,0.3254649140566038,7.987422923541356,7.821372647342826,-0.16605027619853008,0.0368563866078755,9,0.2094184939020351,-0.0259877661548983,False,0.00390625,256,0.00640869140625,391103,0.4612033147278338,0.9957953680710024,0,histogram_matched,0
experiments/phase1_runs/pool_initialization/p1_m0p5_n256_s0_uniform,256,20000,0.5,0,3.90458424994722,0.16121253277755454,0.0497955227772493,0.027263664871412678,0.9768017321373338,0.1562,1.806485275086778,0.24567534326066137,0.027106476313787136,6666.666666666667,60,<,0.19938202461905727,63.52266462594396,0.4103538805737587,7.999213613342798,7.819294772746718,-0.17991884059607965,0.0488081209425444,10,0.8461103727411432,-0.0265976875996614,False,0.00390625,256,0.01019287109375,557253,0.5050686133587436,0.9964733601426344,0,uniform,0
experiments/phase1_runs/mechanism/p1_m0p5_n256_s1,256,20000,0.5,1,4.032747458899394,0.05538290051311231,0.15168871112115428,0.07610533718460856,0.9718377088305489,0.0895,2.0822126336014946,0.22211953825506728,0.028552072329388903,6666.666666666667,93,],0.17100631816287123,65.7312306782674,0.3553011183339824,7.988349780853342,7.779812673636807,-0.20853710721653496,0.0521959770314261,9,0.551332765504382,-0.0331223691124105,False,0.00390625,256,0.00921630859375,671812,0.5052202104160093,0.996744421177703,0,histogram_matched,0
experiments/phase1_runs/pool_initialization/p1_m0p5_n256_s1_uniform,256,20000,0.5,1,3.838778957957402,0.18560619347806234,0.14956432958425725,0.07144414631654523,0.969711423801574,0.19095,2.0062427842586983,0.34573844803457277,0.028838538459062854,4000.0,93,],0.3712682735208005,34.552758351154694,0.4786418768689383,7.999240270326003,7.82513615889564,-0.17410411143036253,0.0493387230057725,7,0.6106618308015577,0.0743520846820988,False,0.00390625,256,0.004638671875,378342,0.557400447214425,0.9955599966421051,0,uniform,0
experiments/phase1_runs/mechanism/p1_m0p5_n256_s2,256,20000,0.5,2,3.678467709105462,0.11328939323616947,0.1660703372920448,0.10121073458337117,0.9528968440885539,0.15565,1.8720967287175583,0.3989921829713225,0.05369217735667334,20000.0,93,],0.2569662927876501,44.96784608285367,0.44845509820497403,7.988449327860316,7.741461302251439,-0.24698802560887678,0.0636891179912118,7,0.3801556514891713,0.1495122556999053,False,0.00390625,256,0.0111083984375,363689,0.43556445204556643,0.9972174051258432,0,histogram_matched,0
experiments/phase1_runs/pool_initialization/p1_m0p5_n256_s2_uniform,256,20000,0.5,2,3.627577707869932,0.1274541289367188,0.1642778977259715,0.011635113888346395,0.9832413652156141,0.2207,2.145876264552083,0.4187840851517399,0.05795143113810062,20000.0,93,],0.2578471485774663,47.11520699317552,0.4379538956067999,7.999182290688493,7.842079667134495,-0.15710262355399784,0.0426975963095873,8,0.2761040252657043,-0.0186542691282021,False,0.0078125,256,0.00286865234375,349377,0.5101337523649239,0.997282080440865,0,uniform,0
experiments/phase1_runs/mechanism/p1_m0p5_n256_s3,256,20000,0.5,3,3.6829886250197887,0.1790100467865707,0.27315910123806914,0.07541533993384739,0.9676461858118136,0.1324,2.0863264836070923,0.36911972910449214,0.05118295318421966,20000.0,93,],0.10077040907442286,76.23785545914467,0.25150648159910743,7.987018518177321,7.834842313201856,-0.1521762049754649,0.0369587380608399,9,0.2406002874942894,-0.030566276524035,False,0.00390625,256,0.0048828125,492846,0.4900760075155322,0.9961788448013074,0,histogram_matched,0
experiments/phase1_runs/pool_initialization/p1_m0p5_n256_s3_uniform,256,20000,0.5,3,3.8384675001725554,0.0895048139815196,0.23133033977897285,0.208608907269217,0.9677562819657549,0.1644,2.1002153387890843,0.23577793480102965,0.018786529956775124,3333.3333333333335,93,],0.15096163257316236,71.33613130755768,0.3312323958979044,7.99930379873084,7.862416801280457,-0.13688699745038324,0.0374724618351858,11,0.4930456433975898,-0.0110705836801159,False,0.00390625,256,0.0037841796875,496399,0.5173801719987349,0.9958631909324458,0,uniform,0
experiments/phase1_runs/mechanism/p1_m0p5_n256_s4,256,20000,0.5,4,3.5937367910519242,0.20209685775642075,0.2654839216172804,0.18799869952697507,0.9416243654822335,0.0938,1.9643622233536628,0.4204407116829366,0.07068155980588042,20000.0,93,],0.22877124286154843,34.87688133504126,0.4263301888123058,7.982640852962367,7.780720632855315,-0.20192022010705202,0.0519182972375977,9,0.4270566698326181,0.0396745406374368,False,0.00390625,256,0.00616455078125,884081,0.6473976931977953,0.99718673436523,0,histogram_matched,0
experiments/phase1_runs/pool_initialization/p1_m0p5_n256_s4_uniform,256,20000,0.5,4,3.607633125036955,0.12367393134325952,0.2546486180528022,0.09701414949249175,0.9394792399718508,0.14715,2.0343372427459796,0.3293065485687206,0.04775694716485596,10000.0,93,],0.3791162533375027,28.962223716486395,0.5378638275617782,7.993656352351671,7.767754232266125,-0.22590212008554644,0.0655621936198421,8,0.47727751977345,0.2580842355078889,False,0.00390625,256,0.0067138671875,465080,0.5468908574868839,0.9964369230689032,0,uniform,0
