run_dir,population_size,epochs,pool_multiplier,seed,wall_time_s,overall_blocked_fraction,first_100_blocked_fraction,last_100_blocked_fraction,peak_epoch_blocked_fraction,zero_block_epoch_fraction,blocked_fraction_cv,blocked_fraction_lag1,spectral_peak_power_fraction,spectral_peak_period_epochs,top_blocked_symbol,top_blocked_symbol_ascii,top_blocked_symbol_fraction,blocked_symbol_effective_count,instruction_blocked_fraction,initial_pool_entropy,final_pool_entropy,pool_entropy_change,final_pool_jsd,maximum_zero_pool_symbols,maximum_high_order_entropy,final_high_order_entropy,entropy_transition,maximum_dominant_tape_fraction,final_distinct_tapes,active_instruction_fraction_change,cross_tape_copy_success,cross_a_to_b_fraction,recycled_withdrawal_lower_bound,max_conservation_residual
experiments/phase1_runs/mechanism/p1_m2_n256_s0,256,20000,2.0,0,3.883210124913603,0.019893206041134617,0.0,0.0016295480581207395,0.9544600938967136,0.7092,4.90002456515942,0.22667749168038684,0.007746731610617856,1111.111111111111,60.0,<,0.24000453409069442,26.093728754484392,0.37749453705044805,7.98830555573529,7.9319511911905085,-0.05635436454478171,0.0135835253367835,3,0.3941024323501771,0.2460058945495156,False,0.0078125,256,0.02972412109375,564256,0.6192579254806329,0.9850187539889944,0
experiments/phase1_runs/mechanism/p1_m2_n256_s1,256,20000,2.0,1,3.6315462079364806,0.02062557181321399,0.0,0.01645128946632608,0.9362618432385874,0.6847,5.440763966581823,0.14205561500050934,0.010761246431767924,20000.0,60.0,<,0.43424268550230566,10.995858094325756,0.580291393452348,7.989375186335899,7.916551018102563,-0.07282416823333548,0.0189673684574804,4,0.4921256350136982,0.1126248117698622,False,0.0078125,256,0.02587890625,515584,0.6066964839870904,0.9847733969386014,0
experiments/phase1_runs/mechanism/p1_m2_n256_s2,256,20000,2.0,2,3.701825666008517,0.05961503413878672,0.0,0.011849941440289051,0.9671395223558987,0.66615,4.742398695510973,0.1952510634059443,0.01576214621145091,6666.666666666667,60.0,<,0.25924024508223154,12.618410245503362,0.7027178329571107,7.989210071950222,7.912897487257246,-0.07631258469297553,0.0181593426106857,5,0.8054413141829047,-0.0348677755316488,False,0.00390625,256,0.02825927734375,442992,0.5691276591902337,0.9846164391150322,0
experiments/phase1_runs/mechanism/p1_m2_n256_s3,256,20000,2.0,3,3.9386647921055555,0.014373032710060251,0.0,0.0052609200270412985,0.9119669876203577,0.67495,4.840549512016072,0.2724467010681281,0.0128353663489477,2857.1428571428573,149.0,,0.18456315423986008,22.2743289964881,0.3743841097561424,7.987999945120398,7.908922843531688,-0.07907710158871062,0.0226780517541921,3,0.7223192343517235,0.3123476978704351,False,0.00390625,256,0.023681640625,756240,0.5914934412355866,0.9936652834605864,0
experiments/phase1_runs/mechanism/p1_m2_n256_s4,256,20000,2.0,4,3.6147672079969198,0.03946871759513154,0.014696412156616148,0.0007552299970254693,0.9723865877712031,0.63575,4.451390863913553,0.19422159490288826,0.007631391542346335,10000.0,60.0,<,0.34923661621125746,13.86063508597501,0.5909638948954852,7.9874530300357485,7.920512713641048,-0.06694031639470044,0.0160843722288408,3,0.6562353917716734,0.0939576784518561,False,0.0078125,256,0.0230712890625,470664,0.6290113541719783,0.9844511445737968,0
experiments/phase1_runs/mechanism/p1_m16_n256_s0,256,20000,16.0,0,4.5140584169421345,0.00043008349995431704,0.0,0.0,0.6472670074714904,0.9669,17.86392199760692,0.0483559081253706,0.0022566810624410714,10000.0,60.0,<,1.0,1.0,1.0,7.988347403228309,7.981378715169368,-0.006968688058941019,0.0015498246698016,1,0.5614626773756575,-0.0316698531189398,False,0.00390625,256,0.07318115234375,2445287,0.8065732161500879,0.9654106365353846,0
experiments/phase1_runs/mechanism/p1_m16_n256_s1,256,20000,16.0,1,4.398592791054398,0.0013294600151703639,0.0,0.0,0.7485281749369218,0.9623,17.194291347863224,0.18327121004084584,0.004633298453228385,20000.0,60.0,<,1.0,1.0,1.0,7.989433076821869,7.981750148139216,-0.007682928682652523,0.0017351412119508,1,0.3357696632293043,0.1646096331402455,False,0.0078125,256,0.07562255859375,1494655,0.7129036466609351,0.9373252586303767,0
experiments/phase1_runs/mechanism/p1_m16_n256_s2,256,20000,16.0,2,4.880078291986138,0.0030960426649061096,0.0,0.0,0.6724279835390946,0.9357,12.367787271048849,0.15190876965290961,0.0023278945452122795,377.35849056603774,60.0,<,0.9989747940750168,1.0081137705645378,0.9989747940750168,7.9892497728493375,7.979289881575374,-0.00995989127396335,0.0017205576880704,1,0.4658321063447026,-0.0043077791175569,False,0.0078125,256,0.07086181640625,2112629,0.7239576849508361,0.9558147754794792,0
experiments/phase1_runs/mechanism/p1_m16_n256_s3,256,20000,16.0,3,4.35409149993211,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,,,,0.0,0.0,0.0,7.988142032809328,7.983476087931111,-0.004665944878217587,0.001214347924096,0,0.6263666235650884,-0.0127269136561247,False,0.0078125,256,0.0843505859375,1536850,0.70936851351791,0.9351464057322836,0
experiments/phase1_runs/mechanism/p1_m16_n256_s4,256,20000,16.0,4,4.697196291061118,0.002287045354474669,0.0,0.0013747304663793134,0.6916596461668071,0.94365,12.726741419741446,0.1550999016641933,0.002584640785998298,20000.0,60.0,<,1.0,1.0,1.0,7.989076268976477,7.97827265885088,-0.010803610125597274,0.0025538205000999,1,0.3909241559588121,0.214912765113822,False,0.0078125,256,0.1053466796875,1850038,0.6390382251607805,0.947986021878316,0
