run_dir,seed,dissolution_rate,reseed_rate,successful_exit,invariant_failures,conserved,max_conservation_residual,minimum_tapes,late_mean_occupied_fraction,longest_clogged_ticks,late_active_interaction_fraction,late_successful_writes,dissolutions,placements,late_pool_changes,mechanically_feasible,final_snapshot_tick,final_tapes,final_unique_hashes,neighbor_identity_excess,neighbor_identity_p,q1_beta,q1_beta_null_mean,q1_beta_excess,q1_beta_p,byte_snapshot_tick,neighbor_byte_identity_excess,neighbor_byte_identity_p,opcode_q1_beta_excess,opcode_q1_beta_p,radius,mutation_rate,primary_snapshot_tick,ordered_unique_fraction,ordered_singleton_tape_fraction,ordered_block2_beta,ordered_block2_beta_null,ordered_block2_beta_excess,ordered_block2_beta_p,presence_block2_beta_excess,presence_block2_beta_p,followup_mechanically_feasible
sweeps/phase2_opcode_beta_followup/runs/20260904T221351.935955Z_528e9571c273_202609052,202609052,1e-05,1e-05,True,0,True,0,797,0.7793984375,0,1.0,6873239,33,12,499,True,4900,797,797,0.0,1.0,237.99512926189593,237.99512926189587,5.684341886080802e-14,1.0,4500,0.0015929964529487767,0.001,-0.038353390333933035,0.84,8,6.103515625e-05,4500,0.9576059850374065,0.9326683291770573,221.82406048973942,221.88944062406608,-0.06538013432665934,1.0,0.16171182555136454,0.19,True
sweeps/phase2_opcode_beta_followup/runs/20260904T221351.935938Z_b9bec3b130e7_202609053,202609053,1e-05,1e-05,True,0,True,0,784,0.766763671875,0,1.0,8484174,39,5,499,True,4900,785,785,0.0,1.0,237.46628131021072,237.46628131021075,-2.842170943040401e-14,1.0,4500,0.0021814264657381635,0.001,-0.050255303804272344,0.888,8,6.103515625e-05,4500,0.9529860228716646,0.9237611181702668,219.75696683027985,219.82200642811497,-0.06503959783512414,1.0,-0.020694493736474584,0.531,True
sweeps/phase2_opcode_beta_followup/runs/20260904T221351.935973Z_b61d42ed708d_202609054,202609054,1e-05,1e-05,True,0,True,0,783,0.766201171875,0,1.0,10039475,47,11,499,True,4900,783,783,0.0,1.0,237.17176015473885,237.17176015473888,-2.842170943040401e-14,1.0,4500,0.0008819795405161264,0.035,-0.01262417137841787,0.531,8,6.103515625e-05,4500,0.9643765903307888,0.9465648854961832,222.76134295909182,222.42294594820333,0.3383970108884853,0.057,-0.1432092931463771,0.749,True
sweeps/phase2_opcode_beta_followup/runs/20260904T221351.935997Z_e10d9486c420_202609055,202609055,1e-05,1e-05,True,0,True,0,794,0.776248046875,0,1.0,4507958,36,11,499,True,4900,794,794,0.0,1.0,237.90037735849018,237.90037735849015,2.842170943040401e-14,1.0,4500,0.001626910887058304,0.001,-0.0031205496797621635,0.469,8,6.103515625e-05,4500,0.979874213836478,0.9635220125786164,230.94557841836186,230.9732200653296,-0.027641646967737188,1.0,0.057180429361306295,0.349,True
sweeps/phase2_opcode_beta_followup/runs/20260904T221351.935935Z_4fae1ca8f31c_202609056,202609056,1e-05,1e-05,True,0,True,0,791,0.773310546875,0,1.0,2407291,39,11,499,True,4900,792,792,0.0,1.0,237.59999999999962,237.5999999999996,2.842170943040401e-14,1.0,4500,0.002078057952347147,0.002,0.04999267810186403,0.208,8,6.103515625e-05,4500,0.9065656565656566,0.8623737373737373,197.5522805611104,197.75205757664867,-0.19977701553827387,1.0,-0.09050929923709106,0.668,True
sweeps/phase2_opcode_beta_followup/runs/20260904T221351.936005Z_ed94a5944f40_202609057,202609057,1e-05,1e-05,True,0,True,0,784,0.766740234375,0,1.0,5292185,44,9,499,True,4900,786,786,0.0,1.0,237.79676674364813,237.79676674364816,-2.842170943040401e-14,1.0,4500,0.002045311557418347,0.001,0.01760755015616411,0.305,8,6.103515625e-05,4500,0.9693877551020408,0.9489795918367347,225.88416009853634,225.92718672691012,-0.043026628373780795,1.0,-0.0841670987430092,0.651,True
sweeps/phase2_opcode_beta_followup/runs/20260904T221351.936014Z_b8d203ca4dcb_202609058,202609058,1e-05,1e-05,True,0,True,0,803,0.785509765625,0,1.0,6724291,33,17,499,True,4900,804,804,0.0,1.0,240.84053651266737,240.84053651266737,0.0,1.0,4500,0.0018470282309390237,0.001,0.02678045804503526,0.169,8,6.103515625e-05,4500,0.9788819875776398,0.968944099378882,231.455412240335,231.49373816577992,-0.03832592544492286,1.0,0.3195207467959804,0.058,True
sweeps/phase2_opcode_beta_followup/runs/20260904T221351.936007Z_2d04ee52ac8f_202609059,202609059,1e-05,1e-05,True,0,True,0,788,0.771970703125,0,1.0,3447037,39,8,499,True,4900,788,788,0.0,1.0,237.00152671755737,237.0015267175573,5.684341886080802e-14,1.0,4500,0.001589070053826646,0.001,-0.014285518506303774,0.588,8,6.103515625e-05,4500,0.9722222222222222,0.946969696969697,228.22455602783234,228.25498424050153,-0.030428212669193044,1.0,0.403172796683247,0.01,True
sweeps/phase2_opcode_beta_followup/runs/20260904T222742.930767Z_d48753826040_202609050,202609050,1e-05,1e-05,True,0,True,0,797,0.78012890625,0,1.0,2363685,34,14,499,True,4900,799,799,0.0,1.0,240.2713586751969,240.27135867519695,-5.684341886080802e-14,1.0,4500,0.001405081183387797,0.001,0.11031135545006165,0.079,8,0.000244140625,4500,0.8813982521847691,0.8314606741573034,188.67141686745703,188.37617907001257,0.29523779744445733,0.213,-0.017803607029545532,0.543,True
sweeps/phase2_opcode_beta_followup/runs/20260904T222742.930826Z_1252fe7a1cbc_202609051,202609051,1e-05,1e-05,True,0,True,0,794,0.776376953125,0,1.0,3734840,39,14,499,True,4900,794,794,0.0,1.0,237.1843491346874,237.18434913468735,5.684341886080802e-14,1.0,4500,0.0015258643219832734,0.001,0.02084052822000082,0.322,8,0.000244140625,4500,0.9435382685069009,0.917189460476788,213.21324592827966,213.32252372391653,-0.10927779563687068,1.0,-0.16764736486496545,0.831,True
sweeps/phase2_opcode_beta_followup/runs/20260904T222742.930787Z_bd6b7d21008a_202609052,202609052,1e-05,1e-05,True,0,True,0,788,0.769669921875,0,1.0,2750501,40,9,499,True,4900,788,788,0.0,1.0,235.9209726443768,235.92097264437686,-5.684341886080802e-14,1.0,4500,0.0011480063840436181,0.001,-0.07227056374571994,0.9,8,0.000244140625,4500,0.935361216730038,0.8986058301647655,210.78417717031738,210.87958954758582,-0.09541237726844543,1.0,0.20262654533456015,0.145,True
sweeps/phase2_opcode_beta_followup/runs/20260904T222742.930835Z_f2642bed8717_202609053,202609053,1e-05,1e-05,True,0,True,0,794,0.77653515625,0,1.0,2221093,34,10,499,True,4900,794,794,0.0,1.0,239.1638846737476,239.16388467374767,-8.526512829121202e-14,1.0,4500,0.0019349018791887506,0.001,0.03555300139721673,0.263,8,0.000244140625,4500,0.9347553324968633,0.8983688833124216,213.14931425997926,213.25783889063814,-0.10852463065887719,1.0,0.2539409691440966,0.081,True
sweeps/phase2_opcode_beta_followup/runs/20260904T222742.930752Z_575775291803_202609054,202609054,1e-05,1e-05,True,0,True,0,782,0.766072265625,0,1.0,2340635,44,7,499,True,4900,784,784,0.0,1.0,238.42358417377753,238.4235841737776,-8.526512829121202e-14,1.0,4500,0.0009289719064625272,0.005,-0.010160919917332478,0.493,8,0.000244140625,4500,0.9503184713375796,0.9197452229299363,219.58852730224683,219.65801241550162,-0.06948511325478535,1.0,0.1567064039058046,0.169,True
sweeps/phase2_opcode_beta_followup/runs/20260904T222742.930759Z_0599946cb299_202609055,202609055,1e-05,1e-05,True,0,True,0,793,0.775515625,0,1.0,1300398,37,11,499,True,4900,793,793,0.0,1.0,238.29064039408826,238.29064039408829,-2.842170943040401e-14,1.0,4500,0.001430960312539262,0.001,-0.008932879979601793,0.55,8,0.000244140625,4500,0.928391959798995,0.8907035175879398,210.86104122939338,210.58472162200744,0.2763196073859433,0.172,-0.022123738908852886,0.546,True
sweeps/phase2_opcode_beta_followup/runs/20260904T222742.930783Z_3caeddc46b5e_202609056,202609056,1e-05,1e-05,True,0,True,0,800,0.7826328125,0,1.0,2177344,34,15,499,True,4900,800,800,0.0,1.0,237.38872403560796,237.38872403560796,0.0,1.0,4500,0.0022734744062063664,0.001,0.09757472122880628,0.088,8,0.000244140625,4500,0.8941469489414695,0.8493150684931506,194.28374537146738,194.23933922934282,0.044406142124557846,0.403,0.1734358525131796,0.179,True
sweeps/phase2_opcode_beta_followup/runs/20260904T222742.930781Z_6054878ee247_202609057,202609057,1e-05,1e-05,True,0,True,0,785,0.768220703125,0,1.0,7295969,41,8,499,True,4900,785,785,0.0,1.0,236.91849288734974,236.9184928873497,5.684341886080802e-14,1.0,4500,0.0007507572031602572,0.024,0.01932561214030848,0.373,8,0.000244140625,4500,0.9200507614213198,0.8908629441624365,199.26745221241234,199.15591628867955,0.11153592373278798,0.399,0.025981875156762868,0.424,True
sweeps/phase2_opcode_beta_followup/runs/20260904T222742.930804Z_7aacf3d2c7f1_202609058,202609058,1e-05,1e-05,True,0,True,0,781,0.7654453125,0,1.0,2128829,42,4,499,True,4900,782,782,0.0,1.0,238.31800467654,238.31800467654008,-8.526512829121202e-14,1.0,4500,0.002504180150517798,0.001,-0.03265566390308372,0.792,8,0.000244140625,4500,0.9593908629441624,0.9378172588832487,221.58786513653575,221.66908410866125,-0.08121897212549811,1.0,-0.14938187464878183,0.79,True
sweeps/phase2_opcode_beta_followup/runs/20260904T222742.930792Z_8b1170b3fefb_202609059,202609059,1e-05,1e-05,True,0,True,0,789,0.773009765625,0,1.0,1616463,41,11,499,True,4900,791,791,0.0,1.0,237.09018567639274,237.09018567639268,5.684341886080802e-14,1.0,4500,0.0009566742762140423,0.001,0.08829003766317989,0.103,8,0.000244140625,4500,0.9129886506935687,0.8713745271122321,202.58001818346023,202.3661423387899,0.2138758446703264,0.201,0.09036612030395119,0.292,True
