epoch,elapsed_seconds,character_reads,byte_entropy,brotli_size,compressed_bpb,high_order_entropy
4225,50.136625916929916,195065440615,7.241065544474289,7393582,7.051069259643555,0.18999628483073394
4353,52.01552704186179,202945045922,7.210235469034832,7372880,7.0313262939453125,0.17890917508951976
4481,53.95101079205051,210955608552,7.182132094790232,7352648,7.012031555175781,0.1701005396144506
4609,55.883040542015806,219083347926,7.157496974820464,7335182,6.99537467956543,0.16212229525503474
4737,57.838889457983896,227350300674,7.130686808315778,7315938,6.977022171020508,0.1536646372952699
4865,59.83023583306931,235754386007,7.104395056583847,7297685,6.9596147537231445,0.14478030286070265
4993,61.86749070789665,244254878817,7.080703838106892,7282600,6.945228576660156,0.13547526144673583
5121,63.8876960829366,252908082481,7.061660216418339,7267268,6.930606842041016,0.13105337437732345
5249,65.94336037500761,261692872852,7.046950297779433,7254880,6.918792724609375,0.12815757317005794
5377,68.0369811670389,270554590517,7.029492573846008,7239801,6.904412269592285,0.12508030425372318
5505,70.10389712499455,279517516218,7.019954520002827,7234930,6.89976692199707,0.12018759800575651
5633,72.19435654208064,288564718913,7.012409666301977,7227097,6.89229679107666,0.12011287522531688
5761,74.3022408329416,297716357475,7.002210107671017,7216046,6.881757736206055,0.12045237146496213
5889,76.40121133299544,306960297187,6.994817124456535,7206784,6.8729248046875,0.12189231976903514
6017,78.51726058288477,316268718831,6.981756461264387,7187306,6.854349136352539,0.12740732491184836
6145,80.62505204207264,325628610469,6.974564964491089,7179711,6.847105979919434,0.12745898457165517
6273,82.75722166686319,335082850350,6.967681011845696,7170234,6.838068008422852,0.1296130034228442
6401,84.89190066698939,344580989472,6.955720879002953,7154445,6.823010444641113,0.13271043436184016
6529,87.01087083294988,354140390165,6.946496497258686,7144151,6.813193321228027,0.13330317603065822
6657,89.15090000000782,363796012450,6.937028993611985,7131569,6.801194190979004,0.13583480263298142
6785,91.28949091699906,373572693224,6.929890313776749,7120337,6.790482521057129,0.13940779271962
6913,93.45433904207312,383437841541,6.927047912501192,7111653,6.782200813293457,0.14484709920773486
7041,95.62967858300544,393388356683,6.926934394534179,7107683,6.778414726257324,0.1485196682768546
7169,97.81322495802306,403428417612,6.922415977001147,7097786,6.768976211547852,0.15343976545329507
7297,100.00893837492913,413576154669,6.914239375978893,7081176,6.753135681152344,0.16110369482654896
7425,102.20960320788436,423793328048,6.910392194006969,7071052,6.743480682373047,0.1669115116339217
7553,104.45948612503707,434090043753,6.903601330216075,7058257,6.731278419494629,0.17232291072144612
7681,106.7137388328556,444463474243,6.906686215599388,7053257,6.726510047912598,0.18017616768679012
7809,108.96264387504198,454901974708,6.9020199177917725,7038950,6.712865829467773,0.18915408832399905
7937,111.22471554204822,465416294947,6.897343033419989,7026436,6.700931549072266,0.19641148434772315
8065,113.49790287506767,476021764756,6.898178774962638,7019092,6.693927764892578,0.20425101007005964
8193,115.8135249170009,486689276231,6.896614581842286,7009193,6.684487342834473,0.21212723900781327
8321,118.11154783307575,497442373856,6.894711327112608,6999490,6.675233840942383,0.21947748617022533
8449,120.40008533303626,508276758100,6.893391170615744,6985665,6.662049293518066,0.23134187709767762
8577,122.73374224989675,519223916799,6.892470830351074,6968543,6.645720481872559,0.24675034847851585
8705,125.06227470794693,530259846270,6.892986600041913,6962469,6.639927864074707,0.25305873596720563
8833,127.37408737489022,541371153661,6.889533013908,6946994,6.62516975402832,0.2643632598796799
