run_dir,seed,radius,distance,mean_js_similarity
sweeps/phase2_functional_distance/runs/20260906T062437.123960Z_26cd6ae87405_202609084,202609084,1,9,0.9282912889136573
sweeps/phase2_functional_distance/runs/20260906T062437.123960Z_26cd6ae87405_202609084,202609084,1,10,0.9278395034791725
sweeps/phase2_functional_distance/runs/20260906T062437.123960Z_26cd6ae87405_202609084,202609084,1,11,0.9283402169885097
sweeps/phase2_functional_distance/runs/20260906T062437.123960Z_26cd6ae87405_202609084,202609084,1,12,0.9280960226646806
sweeps/phase2_functional_distance/runs/20260906T062437.123960Z_26cd6ae87405_202609084,202609084,1,13,0.9275127140857551
sweeps/phase2_functional_distance/runs/20260906T062437.123960Z_26cd6ae87405_202609084,202609084,1,14,0.9276712316006208
sweeps/phase2_functional_distance/runs/20260906T062437.123960Z_26cd6ae87405_202609084,202609084,1,15,0.9269954844806874
sweeps/phase2_functional_distance/runs/20260906T062437.123960Z_26cd6ae87405_202609084,202609084,1,16,0.9272518975777281
sweeps/phase2_functional_distance/runs/20260906T062437.124472Z_0f2e7a321f00_202609085,202609085,1,1,0.9393174522118676
sweeps/phase2_functional_distance/runs/20260906T062437.124472Z_0f2e7a321f00_202609085,202609085,1,2,0.9358489612215795
sweeps/phase2_functional_distance/runs/20260906T062437.124472Z_0f2e7a321f00_202609085,202609085,1,3,0.9340674707344878
sweeps/phase2_functional_distance/runs/20260906T062437.124472Z_0f2e7a321f00_202609085,202609085,1,4,0.9339743467969213
sweeps/phase2_functional_distance/runs/20260906T062437.124472Z_0f2e7a321f00_202609085,202609085,1,5,0.9338475038282966
sweeps/phase2_functional_distance/runs/20260906T062437.124472Z_0f2e7a321f00_202609085,202609085,1,6,0.9335259065780114
sweeps/phase2_functional_distance/runs/20260906T062437.124472Z_0f2e7a321f00_202609085,202609085,1,7,0.9332669397851056
sweeps/phase2_functional_distance/runs/20260906T062437.124472Z_0f2e7a321f00_202609085,202609085,1,8,0.9335943598100921
sweeps/phase2_functional_distance/runs/20260906T062437.124472Z_0f2e7a321f00_202609085,202609085,1,9,0.9340614417701643
sweeps/phase2_functional_distance/runs/20260906T062437.124472Z_0f2e7a321f00_202609085,202609085,1,10,0.9338727945565191
sweeps/phase2_functional_distance/runs/20260906T062437.124472Z_0f2e7a321f00_202609085,202609085,1,11,0.9338103766068704
sweeps/phase2_functional_distance/runs/20260906T062437.124472Z_0f2e7a321f00_202609085,202609085,1,12,0.9337455284804068
sweeps/phase2_functional_distance/runs/20260906T062437.124472Z_0f2e7a321f00_202609085,202609085,1,13,0.9338200112632259
sweeps/phase2_functional_distance/runs/20260906T062437.124472Z_0f2e7a321f00_202609085,202609085,1,14,0.9339173669935759
sweeps/phase2_functional_distance/runs/20260906T062437.124472Z_0f2e7a321f00_202609085,202609085,1,15,0.9340008199319201
sweeps/phase2_functional_distance/runs/20260906T062437.124472Z_0f2e7a321f00_202609085,202609085,1,16,0.9336434720889751
sweeps/phase2_functional_distance/runs/20260906T062437.125113Z_34b743661f1c_202609086,202609086,1,1,0.9395121894389844
sweeps/phase2_functional_distance/runs/20260906T062437.125113Z_34b743661f1c_202609086,202609086,1,2,0.9351754005624539
sweeps/phase2_functional_distance/runs/20260906T062437.125113Z_34b743661f1c_202609086,202609086,1,3,0.9334645881201779
sweeps/phase2_functional_distance/runs/20260906T062437.125113Z_34b743661f1c_202609086,202609086,1,4,0.9330492535201148
sweeps/phase2_functional_distance/runs/20260906T062437.125113Z_34b743661f1c_202609086,202609086,1,5,0.9337807501461011
sweeps/phase2_functional_distance/runs/20260906T062437.125113Z_34b743661f1c_202609086,202609086,1,6,0.9337214120456012
sweeps/phase2_functional_distance/runs/20260906T062437.125113Z_34b743661f1c_202609086,202609086,1,7,0.9336449818606763
sweeps/phase2_functional_distance/runs/20260906T062437.125113Z_34b743661f1c_202609086,202609086,1,8,0.9331395565230842
sweeps/phase2_functional_distance/runs/20260906T062437.125113Z_34b743661f1c_202609086,202609086,1,9,0.9338492419029311
sweeps/phase2_functional_distance/runs/20260906T062437.125113Z_34b743661f1c_202609086,202609086,1,10,0.933651938944059
sweeps/phase2_functional_distance/runs/20260906T062437.125113Z_34b743661f1c_202609086,202609086,1,11,0.9337586112694228
sweeps/phase2_functional_distance/runs/20260906T062437.125113Z_34b743661f1c_202609086,202609086,1,12,0.9335807943646263
sweeps/phase2_functional_distance/runs/20260906T062437.125113Z_34b743661f1c_202609086,202609086,1,13,0.9339985498787969
sweeps/phase2_functional_distance/runs/20260906T062437.125113Z_34b743661f1c_202609086,202609086,1,14,0.9331654290297983
sweeps/phase2_functional_distance/runs/20260906T062437.125113Z_34b743661f1c_202609086,202609086,1,15,0.9339202068732362
sweeps/phase2_functional_distance/runs/20260906T062437.125113Z_34b743661f1c_202609086,202609086,1,16,0.9332114364243498
sweeps/phase2_functional_distance/runs/20260906T062437.125501Z_515b9666d3c3_202609087,202609087,1,1,0.94421536244931
sweeps/phase2_functional_distance/runs/20260906T062437.125501Z_515b9666d3c3_202609087,202609087,1,2,0.9407139071411234
sweeps/phase2_functional_distance/runs/20260906T062437.125501Z_515b9666d3c3_202609087,202609087,1,3,0.9389472317950376
sweeps/phase2_functional_distance/runs/20260906T062437.125501Z_515b9666d3c3_202609087,202609087,1,4,0.9380440088920128
sweeps/phase2_functional_distance/runs/20260906T062437.125501Z_515b9666d3c3_202609087,202609087,1,5,0.9388026133871645
sweeps/phase2_functional_distance/runs/20260906T062437.125501Z_515b9666d3c3_202609087,202609087,1,6,0.9389715316080273
sweeps/phase2_functional_distance/runs/20260906T062437.125501Z_515b9666d3c3_202609087,202609087,1,7,0.9388252714503853
sweeps/phase2_functional_distance/runs/20260906T062437.125501Z_515b9666d3c3_202609087,202609087,1,8,0.9384462176147605
sweeps/phase2_functional_distance/runs/20260906T062437.125501Z_515b9666d3c3_202609087,202609087,1,9,0.9389807420298606
sweeps/phase2_functional_distance/runs/20260906T062437.125501Z_515b9666d3c3_202609087,202609087,1,10,0.938460083474149
sweeps/phase2_functional_distance/runs/20260906T062437.125501Z_515b9666d3c3_202609087,202609087,1,11,0.9385495251222582
sweeps/phase2_functional_distance/runs/20260906T062437.125501Z_515b9666d3c3_202609087,202609087,1,12,0.9383607282764672
sweeps/phase2_functional_distance/runs/20260906T062437.125501Z_515b9666d3c3_202609087,202609087,1,13,0.9385209087902996
sweeps/phase2_functional_distance/runs/20260906T062437.125501Z_515b9666d3c3_202609087,202609087,1,14,0.9383753770590758
sweeps/phase2_functional_distance/runs/20260906T062437.125501Z_515b9666d3c3_202609087,202609087,1,15,0.9383260149618226
sweeps/phase2_functional_distance/runs/20260906T062437.125501Z_515b9666d3c3_202609087,202609087,1,16,0.9385485158041746
sweeps/phase2_functional_distance/runs/20260906T062437.128353Z_5e0097ab3122_202609088,202609088,1,1,0.9383597236300999
sweeps/phase2_functional_distance/runs/20260906T062437.128353Z_5e0097ab3122_202609088,202609088,1,2,0.9355074550096849
sweeps/phase2_functional_distance/runs/20260906T062437.128353Z_5e0097ab3122_202609088,202609088,1,3,0.9323794800267328
sweeps/phase2_functional_distance/runs/20260906T062437.128353Z_5e0097ab3122_202609088,202609088,1,4,0.9313200479243449
sweeps/phase2_functional_distance/runs/20260906T062437.128353Z_5e0097ab3122_202609088,202609088,1,5,0.9312335541206689
sweeps/phase2_functional_distance/runs/20260906T062437.128353Z_5e0097ab3122_202609088,202609088,1,6,0.9312826787041782
sweeps/phase2_functional_distance/runs/20260906T062437.128353Z_5e0097ab3122_202609088,202609088,1,7,0.9313671004482018
sweeps/phase2_functional_distance/runs/20260906T062437.128353Z_5e0097ab3122_202609088,202609088,1,8,0.9306316947977974
sweeps/phase2_functional_distance/runs/20260906T062437.128353Z_5e0097ab3122_202609088,202609088,1,9,0.9314181068268169
sweeps/phase2_functional_distance/runs/20260906T062437.128353Z_5e0097ab3122_202609088,202609088,1,10,0.9310592984114269
sweeps/phase2_functional_distance/runs/20260906T062437.128353Z_5e0097ab3122_202609088,202609088,1,11,0.9313491856964119
sweeps/phase2_functional_distance/runs/20260906T062437.128353Z_5e0097ab3122_202609088,202609088,1,12,0.9314362295335499
sweeps/phase2_functional_distance/runs/20260906T062437.128353Z_5e0097ab3122_202609088,202609088,1,13,0.9313013652753409
sweeps/phase2_functional_distance/runs/20260906T062437.128353Z_5e0097ab3122_202609088,202609088,1,14,0.9311187404611533
sweeps/phase2_functional_distance/runs/20260906T062437.128353Z_5e0097ab3122_202609088,202609088,1,15,0.9308738405058807
sweeps/phase2_functional_distance/runs/20260906T062437.128353Z_5e0097ab3122_202609088,202609088,1,16,0.9310285809738927
sweeps/phase2_functional_distance/runs/20260906T062437.128394Z_acfa432f2238_202609089,202609089,1,1,0.940982415638597
sweeps/phase2_functional_distance/runs/20260906T062437.128394Z_acfa432f2238_202609089,202609089,1,2,0.9359042305680503
sweeps/phase2_functional_distance/runs/20260906T062437.128394Z_acfa432f2238_202609089,202609089,1,3,0.934127428965973
sweeps/phase2_functional_distance/runs/20260906T062437.128394Z_acfa432f2238_202609089,202609089,1,4,0.9334335096147641
sweeps/phase2_functional_distance/runs/20260906T062437.128394Z_acfa432f2238_202609089,202609089,1,5,0.9332348748455962
sweeps/phase2_functional_distance/runs/20260906T062437.128394Z_acfa432f2238_202609089,202609089,1,6,0.9330458417885581
sweeps/phase2_functional_distance/runs/20260906T062437.128394Z_acfa432f2238_202609089,202609089,1,7,0.9328086713842622
sweeps/phase2_functional_distance/runs/20260906T062437.128394Z_acfa432f2238_202609089,202609089,1,8,0.9336648203209255
sweeps/phase2_functional_distance/runs/20260906T062437.128394Z_acfa432f2238_202609089,202609089,1,9,0.9332326833428221
sweeps/phase2_functional_distance/runs/20260906T062437.128394Z_acfa432f2238_202609089,202609089,1,10,0.9330996295056583
sweeps/phase2_functional_distance/runs/20260906T062437.128394Z_acfa432f2238_202609089,202609089,1,11,0.9331814925296117
sweeps/phase2_functional_distance/runs/20260906T062437.128394Z_acfa432f2238_202609089,202609089,1,12,0.9333767282615255
sweeps/phase2_functional_distance/runs/20260906T062437.128394Z_acfa432f2238_202609089,202609089,1,13,0.9331887872831042
sweeps/phase2_functional_distance/runs/20260906T062437.128394Z_acfa432f2238_202609089,202609089,1,14,0.9328263676385592
sweeps/phase2_functional_distance/runs/20260906T062437.128394Z_acfa432f2238_202609089,202609089,1,15,0.9332168479347891
sweeps/phase2_functional_distance/runs/20260906T062437.128394Z_acfa432f2238_202609089,202609089,1,16,0.9333541134899247
sweeps/phase2_functional_distance/runs/20260906T063252.782305Z_544f22a6468d_202609080,202609080,8,1,0.9196708238089558
sweeps/phase2_functional_distance/runs/20260906T063252.782305Z_544f22a6468d_202609080,202609080,8,2,0.9204821909228468
sweeps/phase2_functional_distance/runs/20260906T063252.782305Z_544f22a6468d_202609080,202609080,8,3,0.9200937098825469
sweeps/phase2_functional_distance/runs/20260906T063252.782305Z_544f22a6468d_202609080,202609080,8,4,0.9196598855081677
sweeps/phase2_functional_distance/runs/20260906T063252.782305Z_544f22a6468d_202609080,202609080,8,5,0.9193629454654035
sweeps/phase2_functional_distance/runs/20260906T063252.782305Z_544f22a6468d_202609080,202609080,8,6,0.9194267715763407
sweeps/phase2_functional_distance/runs/20260906T063252.782305Z_544f22a6468d_202609080,202609080,8,7,0.919267468024641
sweeps/phase2_functional_distance/runs/20260906T063252.782305Z_544f22a6468d_202609080,202609080,8,8,0.9196460245649406
sweeps/phase2_functional_distance/runs/20260906T063252.782305Z_544f22a6468d_202609080,202609080,8,9,0.9189676894088973
sweeps/phase2_functional_distance/runs/20260906T063252.782305Z_544f22a6468d_202609080,202609080,8,10,0.9187894303308407
sweeps/phase2_functional_distance/runs/20260906T063252.782305Z_544f22a6468d_202609080,202609080,8,11,0.9182182322888574
sweeps/phase2_functional_distance/runs/20260906T063252.782305Z_544f22a6468d_202609080,202609080,8,12,0.9188220214667011
sweeps/phase2_functional_distance/runs/20260906T063252.782305Z_544f22a6468d_202609080,202609080,8,13,0.9185486138163584
sweeps/phase2_functional_distance/runs/20260906T063252.782305Z_544f22a6468d_202609080,202609080,8,14,0.9182524119293733
sweeps/phase2_functional_distance/runs/20260906T063252.782305Z_544f22a6468d_202609080,202609080,8,15,0.9182621509399181
sweeps/phase2_functional_distance/runs/20260906T063252.782305Z_544f22a6468d_202609080,202609080,8,16,0.9182295776085863
sweeps/phase2_functional_distance/runs/20260906T063252.782257Z_c4c98990f78f_202609081,202609081,8,1,0.9383059623938843
sweeps/phase2_functional_distance/runs/20260906T063252.782257Z_c4c98990f78f_202609081,202609081,8,2,0.9388961644942522
sweeps/phase2_functional_distance/runs/20260906T063252.782257Z_c4c98990f78f_202609081,202609081,8,3,0.937992439768893
sweeps/phase2_functional_distance/runs/20260906T063252.782257Z_c4c98990f78f_202609081,202609081,8,4,0.937761240883868
sweeps/phase2_functional_distance/runs/20260906T063252.782257Z_c4c98990f78f_202609081,202609081,8,5,0.9375897988880407
sweeps/phase2_functional_distance/runs/20260906T063252.782257Z_c4c98990f78f_202609081,202609081,8,6,0.9380123819554052
sweeps/phase2_functional_distance/runs/20260906T063252.782257Z_c4c98990f78f_202609081,202609081,8,7,0.9372144561158583
sweeps/phase2_functional_distance/runs/20260906T063252.782257Z_c4c98990f78f_202609081,202609081,8,8,0.9372184975641299
sweeps/phase2_functional_distance/runs/20260906T063252.782257Z_c4c98990f78f_202609081,202609081,8,9,0.9372094885429401
sweeps/phase2_functional_distance/runs/20260906T063252.782257Z_c4c98990f78f_202609081,202609081,8,10,0.9374127477910085
sweeps/phase2_functional_distance/runs/20260906T063252.782257Z_c4c98990f78f_202609081,202609081,8,11,0.9372439153168759
sweeps/phase2_functional_distance/runs/20260906T063252.782257Z_c4c98990f78f_202609081,202609081,8,12,0.937590426366064
sweeps/phase2_functional_distance/runs/20260906T063252.782257Z_c4c98990f78f_202609081,202609081,8,13,0.937308548819757
sweeps/phase2_functional_distance/runs/20260906T063252.782257Z_c4c98990f78f_202609081,202609081,8,14,0.9373742216032047
sweeps/phase2_functional_distance/runs/20260906T063252.782257Z_c4c98990f78f_202609081,202609081,8,15,0.9372273888959032
sweeps/phase2_functional_distance/runs/20260906T063252.782257Z_c4c98990f78f_202609081,202609081,8,16,0.937299064861475
sweeps/phase2_functional_distance/runs/20260906T063252.782299Z_a9277b04e702_202609082,202609082,8,1,0.9373707461388305
sweeps/phase2_functional_distance/runs/20260906T063252.782299Z_a9277b04e702_202609082,202609082,8,2,0.9375213971680416
sweeps/phase2_functional_distance/runs/20260906T063252.782299Z_a9277b04e702_202609082,202609082,8,3,0.9371969520603465
sweeps/phase2_functional_distance/runs/20260906T063252.782299Z_a9277b04e702_202609082,202609082,8,4,0.9369950664864506
sweeps/phase2_functional_distance/runs/20260906T063252.782299Z_a9277b04e702_202609082,202609082,8,5,0.9375742667714909
sweeps/phase2_functional_distance/runs/20260906T063252.782299Z_a9277b04e702_202609082,202609082,8,6,0.9371431257671214
sweeps/phase2_functional_distance/runs/20260906T063252.782299Z_a9277b04e702_202609082,202609082,8,7,0.9371538067155085
sweeps/phase2_functional_distance/runs/20260906T063252.782299Z_a9277b04e702_202609082,202609082,8,8,0.9370222513008587
sweeps/phase2_functional_distance/runs/20260906T063252.782299Z_a9277b04e702_202609082,202609082,8,9,0.9371219393888223
