epoch,elapsed_seconds,character_reads,byte_entropy,brotli_size,compressed_bpb,high_order_entropy
4481,40.127106292173266,141576201996,7.998405371771344,8376903,7.988837242126465,0.00956812964487952
4609,41.20802416699007,145616228946,7.998465834383129,8375820,7.987804412841797,0.010661421541332317
4737,42.31860229209997,149631088842,7.998437317497354,8377303,7.989218711853027,0.009218605644326416
4865,43.39297316712327,153598835495,7.998426307666534,8375366,7.987371444702148,0.011054862964385848
4993,44.47793587506749,157594092020,7.998520745599228,8376445,7.988400459289551,0.010120286309676985
5121,45.556134042097256,161623525549,7.9985310912717615,8376002,7.987977981567383,0.010553109704378727
5249,46.64288483397104,165648203665,7.9984355683122885,8376662,7.988607406616211,0.009828161696077586
5377,47.74319887510501,169655018481,7.9984429248026085,8376278,7.988241195678711,0.010201729123897607
5505,48.83157475013286,173656013594,7.998424376561738,8376115,7.988085746765137,0.010338629796601495
5633,49.92169783404097,177687437572,7.998499880576607,8376163,7.988131523132324,0.010368357444282772
5761,51.00962212518789,181733574083,7.99840781525829,8376660,7.988605499267578,0.009802315990711463
5889,52.10664641717449,185793567755,7.998416648386776,8375604,7.987598419189453,0.010818229197322893
6017,53.18895479198545,189819495916,7.99853976436301,8376441,7.988396644592285,0.010143119770725129
6145,54.276244417065755,193850205723,7.998450410140727,8375175,7.987189292907715,0.01126111723301193
6273,55.3474291251041,197833731434,7.998444377960427,8375263,7.987273216247559,0.011171161712868027
6401,56.426181209040806,201787655521,7.998452955535814,8376196,7.988162994384766,0.010289961151048743
6529,57.506687292130664,205763936691,7.998440510980395,8375841,7.987824440002441,0.010616070977953918
6657,58.599156375043094,209793915727,7.998428585783379,8376815,7.988753318786621,0.009675266996757692
6785,59.67269791709259,213804058740,7.998493977743655,8375814,7.987798690795898,0.010695286947756344
6913,60.770371792139485,217831995853,7.998514643599568,8375610,7.987604141235352,0.010910502364216867
7041,61.84663191717118,221833110070,7.998509740778932,8376569,7.988518714904785,0.009991025874146686
7169,62.937118584057316,225915982750,7.998490267796786,8376348,7.988307952880859,0.010182314915926582
7297,64.0159275000915,229937261859,7.998509762063036,8377566,7.989469528198242,0.009040233864793912
7425,65.0976180001162,233964442707,7.998443426105281,8376315,7.988276481628418,0.010166944476862838
7553,66.18965408415534,237986573212,7.998498048377343,8376512,7.98846435546875,0.010033692908592684
7681,67.27080104197375,241998061688,7.998456790890069,8376492,7.988445281982422,0.010011508907647126
7809,68.3556022089906,246063446356,7.998500591317301,8375496,7.987495422363281,0.011005168954019595
7937,69.43969570915215,250064646747,7.998460309252491,8377322,7.989236831665039,0.00922347758745179
8065,70.53132958407514,254123427513,7.998465226547454,8374973,7.986996650695801,0.011468575851653284
8193,71.63777129212394,258164064977,7.998492988453658,8377495,7.989401817321777,0.009091171131880849
8321,72.71858408418484,262161805257,7.998417850491565,8376616,7.988563537597656,0.009854312893908812
8449,73.80703058396466,266198534647,7.998529002594147,8377506,7.989412307739258,0.009116694854888863
8577,74.88224316714332,270222921217,7.998469059743021,8375699,7.987689018249512,0.010780041493509529
8705,75.95497212512419,274248494826,7.998573481884041,8377071,7.988997459411621,0.00957602247241951
