seed,run_dir,tick,occupied,exact_count,near_count,opcode_count,exact_fraction,near_fraction,opcode_fraction
202608269,sweeps/phase2_parasite_positive_control/mechanics/seed_202608269,72,51,26,26,51,0.5098039215686274,0.5098039215686274,1.0
202608269,sweeps/phase2_parasite_positive_control/mechanics/seed_202608269,73,51,25,25,51,0.49019607843137253,0.49019607843137253,1.0
202608269,sweeps/phase2_parasite_positive_control/mechanics/seed_202608269,74,51,25,25,51,0.49019607843137253,0.49019607843137253,1.0
202608269,sweeps/phase2_parasite_positive_control/mechanics/seed_202608269,75,51,28,28,51,0.5490196078431373,0.5490196078431373,1.0
202608269,sweeps/phase2_parasite_positive_control/mechanics/seed_202608269,76,51,32,32,51,0.6274509803921569,0.6274509803921569,1.0
202608269,sweeps/phase2_parasite_positive_control/mechanics/seed_202608269,77,51,29,29,51,0.5686274509803921,0.5686274509803921,1.0
202608269,sweeps/phase2_parasite_positive_control/mechanics/seed_202608269,78,51,25,25,51,0.49019607843137253,0.49019607843137253,1.0
202608269,sweeps/phase2_parasite_positive_control/mechanics/seed_202608269,79,51,29,29,51,0.5686274509803921,0.5686274509803921,1.0
202608269,sweeps/phase2_parasite_positive_control/mechanics/seed_202608269,80,51,25,25,51,0.49019607843137253,0.49019607843137253,1.0
202608269,sweeps/phase2_parasite_positive_control/mechanics/seed_202608269,81,51,27,27,51,0.5294117647058824,0.5294117647058824,1.0
202608269,sweeps/phase2_parasite_positive_control/mechanics/seed_202608269,82,51,28,28,51,0.5490196078431373,0.5490196078431373,1.0
202608269,sweeps/phase2_parasite_positive_control/mechanics/seed_202608269,83,51,28,28,51,0.5490196078431373,0.5490196078431373,1.0
202608269,sweeps/phase2_parasite_positive_control/mechanics/seed_202608269,84,51,27,27,51,0.5294117647058824,0.5294117647058824,1.0
202608269,sweeps/phase2_parasite_positive_control/mechanics/seed_202608269,85,51,24,24,51,0.47058823529411764,0.47058823529411764,1.0
202608269,sweeps/phase2_parasite_positive_control/mechanics/seed_202608269,86,51,23,23,51,0.45098039215686275,0.45098039215686275,1.0
202608269,sweeps/phase2_parasite_positive_control/mechanics/seed_202608269,87,51,26,26,51,0.5098039215686274,0.5098039215686274,1.0
202608269,sweeps/phase2_parasite_positive_control/mechanics/seed_202608269,88,51,24,24,51,0.47058823529411764,0.47058823529411764,1.0
202608269,sweeps/phase2_parasite_positive_control/mechanics/seed_202608269,89,51,21,21,51,0.4117647058823529,0.4117647058823529,1.0
202608269,sweeps/phase2_parasite_positive_control/mechanics/seed_202608269,90,51,24,24,51,0.47058823529411764,0.47058823529411764,1.0
202608269,sweeps/phase2_parasite_positive_control/mechanics/seed_202608269,91,51,28,28,51,0.5490196078431373,0.5490196078431373,1.0
202608269,sweeps/phase2_parasite_positive_control/mechanics/seed_202608269,92,51,20,20,51,0.39215686274509803,0.39215686274509803,1.0
202608269,sweeps/phase2_parasite_positive_control/mechanics/seed_202608269,93,51,24,24,51,0.47058823529411764,0.47058823529411764,1.0
202608269,sweeps/phase2_parasite_positive_control/mechanics/seed_202608269,94,51,24,24,51,0.47058823529411764,0.47058823529411764,1.0
202608269,sweeps/phase2_parasite_positive_control/mechanics/seed_202608269,95,51,29,29,51,0.5686274509803921,0.5686274509803921,1.0
202608269,sweeps/phase2_parasite_positive_control/mechanics/seed_202608269,96,51,26,26,51,0.5098039215686274,0.5098039215686274,1.0
202608269,sweeps/phase2_parasite_positive_control/mechanics/seed_202608269,97,51,24,24,51,0.47058823529411764,0.47058823529411764,1.0
202608269,sweeps/phase2_parasite_positive_control/mechanics/seed_202608269,98,51,22,22,51,0.43137254901960786,0.43137254901960786,1.0
202608269,sweeps/phase2_parasite_positive_control/mechanics/seed_202608269,99,51,22,22,51,0.43137254901960786,0.43137254901960786,1.0
