epoch,elapsed_seconds,character_reads,byte_entropy,brotli_size,compressed_bpb,high_order_entropy,dominant_tape_count,dominant_tape_fraction,distinct_tapes
3401,271.0925605830271,1381808294533,7.474402419558244,1492962,1.4237995147705078,6.050602904787736,104,0.00079345703125,47066
3501,279.5916259579826,1428794172663,7.428375266813677,1519277,1.4488954544067383,5.979479812406939,102,0.0007781982421875,51421
3601,288.1206292908173,1475373312582,7.398608848460487,1530762,1.459848403930664,5.938760444529823,110,0.0008392333984375,53350
3701,296.5308236249257,1522548437238,7.374981814302137,1537283,1.4660673141479492,5.908914500154188,87,0.00066375732421875,56357
3801,304.9124745000154,1569705519231,7.347413002803197,1554425,1.4824151992797852,5.864997803523412,84,0.000640869140625,58587
3901,313.52908958285116,1616708938092,7.344897799490562,1551749,1.479863166809082,5.86503463268148,139,0.00106048583984375,58126
4001,322.14833295787685,1663779397923,7.31348719320315,1552442,1.4805240631103516,5.832963130092798,110,0.0008392333984375,59169
4101,330.62525820801966,1710787773663,7.287531014497871,1539984,1.4686431884765625,5.818887826021308,127,0.00096893310546875,60852
4201,339.06875954102725,1757549862257,7.25971815006753,1564127,1.4916677474975586,5.768050402569972,95,0.00072479248046875,62361
4301,347.8497712498065,1804322157297,7.246244907802458,1567479,1.4948644638061523,5.751380443996306,94,0.0007171630859375,63432
4401,356.5553978749085,1851428231657,7.256396293951235,1568355,1.4956998825073242,5.760696411443911,85,0.00064849853515625,62800
4501,365.14214204088785,1898302810208,7.239296316791776,1576113,1.503098487854004,5.736197828937772,93,0.00070953369140625,63134
4601,373.7508542498108,1945087998788,7.235154158705735,1557022,1.4848918914794922,5.750262267226243,136,0.00103759765625,63573
4701,382.7186597499531,1992149651729,7.211431833199093,1570358,1.497610092163086,5.713821741036007,92,0.000701904296875,67032
4801,391.66741412482224,2039312018779,7.200339140096677,1584993,1.5115671157836914,5.688772024312986,122,0.0009307861328125,67995
4901,400.2574045408983,2086415626640,7.189891895464459,1560441,1.4881525039672852,5.701739391497174,110,0.0008392333984375,70005
5001,408.894150165841,2133512472295,7.182553080459982,1558131,1.4859495162963867,5.6966035641635955,121,0.00092315673828125,71494
5101,417.88896658294834,2180899690130,7.168887291351691,1574841,1.5018854141235352,5.667001877228156,114,0.0008697509765625,71958
